text,Cleanliness,Electrical,Infrastructure,Safety-Security,Staff,Catering,Medical,General
please help ticket checker shouting,0,0,0,0,1,0,0,0
there is staff rude,0,0,0,0,1,0,0,0
complaint regarding ticket checker shouting,0,0,0,0,1,0,0,0
no response from railway staff,0,0,0,0,1,0,0,0
TT misbehaving in my coach,0,0,0,0,1,0,0,0
please help staff rude,0,0,0,0,1,0,0,0
sir no response from railway staff,0,0,0,0,1,0,0,0
sir no response from railway staff,0,0,0,0,1,0,0,0
complaint regarding attendant not helping,0,0,0,0,1,0,0,0
attendant not helping in my coach,0,0,0,0,1,0,0,0
complaint regarding ticket checker shouting,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
TT misbehaving in my coach,0,0,0,0,1,0,0,0
attendant not helping urgently,0,0,0,0,1,0,0,0
ticket checker shouting in my coach,0,0,0,0,1,0,0,0
sir attendant not helping,0,0,0,0,1,0,0,0
complaint regarding no response from railway staff,0,0,0,0,1,0,0,0
ticket checker shouting urgently,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
please help no response from railway staff,0,0,0,0,1,0,0,0
there is ticket checker shouting,0,0,0,0,1,0,0,0
sir staff rude,0,0,0,0,1,0,0,0
please help no response from railway staff,0,0,0,0,1,0,0,0
attendant not helping in my coach,0,0,0,0,1,0,0,0
there is staff rude,0,0,0,0,1,0,0,0
staff rude in my coach,0,0,0,0,1,0,0,0
complaint regarding TT misbehaving,0,0,0,0,1,0,0,0
please help attendant not helping,0,0,0,0,1,0,0,0
facing problem: ticket checker shouting,0,0,0,0,1,0,0,0
please help no response from railway staff,0,0,0,0,1,0,0,0
sir attendant not helping,0,0,0,0,1,0,0,0
facing problem: staff rude,0,0,0,0,1,0,0,0
facing problem: TT misbehaving,0,0,0,0,1,0,0,0
complaint regarding no response from railway staff,0,0,0,0,1,0,0,0
no response from railway staff urgently,0,0,0,0,1,0,0,0
facing problem: TT misbehaving,0,0,0,0,1,0,0,0
facing problem: attendant not helping,0,0,0,0,1,0,0,0
please help TT misbehaving,0,0,0,0,1,0,0,0
facing problem: staff rude,0,0,0,0,1,0,0,0
there is no response from railway staff,0,0,0,0,1,0,0,0
please help attendant not helping,0,0,0,0,1,0,0,0
TT misbehaving in my coach,0,0,0,0,1,0,0,0
sir staff rude,0,0,0,0,1,0,0,0
there is attendant not helping,0,0,0,0,1,0,0,0
ticket checker shouting urgently,0,0,0,0,1,0,0,0
sir attendant not helping,0,0,0,0,1,0,0,0
complaint regarding ticket checker shouting,0,0,0,0,1,0,0,0
sir ticket checker shouting,0,0,0,0,1,0,0,0
sir TT misbehaving,0,0,0,0,1,0,0,0
facing problem: TT misbehaving,0,0,0,0,1,0,0,0
complaint regarding no response from railway staff,0,0,0,0,1,0,0,0
facing problem: no response from railway staff,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
there is TT misbehaving,0,0,0,0,1,0,0,0
staff rude urgently,0,0,0,0,1,0,0,0
TT misbehaving in my coach,0,0,0,0,1,0,0,0
please help attendant not helping,0,0,0,0,1,0,0,0
staff rude in my coach,0,0,0,0,1,0,0,0
sir attendant not helping,0,0,0,0,1,0,0,0
there is attendant not helping,0,0,0,0,1,0,0,0
there is attendant not helping,0,0,0,0,1,0,0,0
complaint regarding staff rude,0,0,0,0,1,0,0,0
sir no response from railway staff,0,0,0,0,1,0,0,0
attendant not helping,0,0,0,0,1,0,0,0
please help TT misbehaving,0,0,0,0,1,0,0,0
please help no response from railway staff,0,0,0,0,1,0,0,0
please help ticket checker shouting,0,0,0,0,1,0,0,0
facing problem: no response from railway staff,0,0,0,0,1,0,0,0
attendant not helping,0,0,0,0,1,0,0,0
there is no response from railway staff,0,0,0,0,1,0,0,0
there is TT misbehaving,0,0,0,0,1,0,0,0
please help staff rude,0,0,0,0,1,0,0,0
complaint regarding no response from railway staff,0,0,0,0,1,0,0,0
there is staff rude,0,0,0,0,1,0,0,0
TT misbehaving urgently,0,0,0,0,1,0,0,0
sir TT misbehaving,0,0,0,0,1,0,0,0
no response from railway staff in my coach,0,0,0,0,1,0,0,0
ticket checker shouting urgently,0,0,0,0,1,0,0,0
sir ticket checker shouting,0,0,0,0,1,0,0,0
sir TT misbehaving,0,0,0,0,1,0,0,0
no response from railway staff,0,0,0,0,1,0,0,0
TT misbehaving urgently,0,0,0,0,1,0,0,0
there is staff rude,0,0,0,0,1,0,0,0
attendant not helping,0,0,0,0,1,0,0,0
please help attendant not helping,0,0,0,0,1,0,0,0
facing problem: TT misbehaving,0,0,0,0,1,0,0,0
no response from railway staff,0,0,0,0,1,0,0,0
complaint regarding staff rude,0,0,0,0,1,0,0,0
complaint regarding TT misbehaving,0,0,0,0,1,0,0,0
facing problem: staff rude,0,0,0,0,1,0,0,0
please help ticket checker shouting,0,0,0,0,1,0,0,0
ticket checker shouting,0,0,0,0,1,0,0,0
please help ticket checker shouting,0,0,0,0,1,0,0,0
complaint regarding attendant not helping,0,0,0,0,1,0,0,0
there is attendant not helping,0,0,0,0,1,0,0,0
TT misbehaving urgently,0,0,0,0,1,0,0,0
sir attendant not helping,0,0,0,0,1,0,0,0
sir ticket checker shouting,0,0,0,0,1,0,0,0
ticket checker shouting in my coach,0,0,0,0,1,0,0,0
there is ticket checker shouting,0,0,0,0,1,0,0,0
ticket checker shouting urgently,0,0,0,0,1,0,0,0
no response from railway staff in my coach,0,0,0,0,1,0,0,0
attendant not helping,0,0,0,0,1,0,0,0
staff rude urgently,0,0,0,0,1,0,0,0
sir no response from railway staff,0,0,0,0,1,0,0,0
there is staff rude,0,0,0,0,1,0,0,0
please help attendant not helping,0,0,0,0,1,0,0,0
there is ticket checker shouting,0,0,0,0,1,0,0,0
staff rude in my coach,0,0,0,0,1,0,0,0
there is no response from railway staff,0,0,0,0,1,0,0,0
facing problem: no response from railway staff,0,0,0,0,1,0,0,0
please help TT misbehaving,0,0,0,0,1,0,0,0
there is TT misbehaving,0,0,0,0,1,0,0,0
sir staff rude,0,0,0,0,1,0,0,0
ticket checker shouting in my coach,0,0,0,0,1,0,0,0
staff rude urgently,0,0,0,0,1,0,0,0
please help ticket checker shouting,0,0,0,0,1,0,0,0
there is attendant not helping,0,0,0,0,1,0,0,0
there is ticket checker shouting,0,0,0,0,1,0,0,0
please help staff rude,0,0,0,0,1,0,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
complaint regarding pantry not giving meal,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
sir water bottle expired,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
please help stale food served,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
stale food served urgently,0,0,0,0,0,1,0,0
stale food served urgently,0,0,0,0,0,1,0,0
please help stale food served,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
stale food served urgently,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
facing problem: pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
please help water bottle expired,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
complaint regarding pantry not giving meal,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
there is food quality bad,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
facing problem: pantry not giving meal,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
complaint regarding pantry not giving meal,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
facing problem: stale food served,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
there is food quality bad,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
there is food quality bad,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
pantry not giving meal,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
there is food quality bad,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
there is food quality bad,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
sir water bottle expired,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
sir overpriced food,0,0,0,0,0,1,0,0
pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
sir water bottle expired,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
please help food quality bad,0,0,0,0,0,1,0,0
there is pantry not giving meal,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
pantry not giving meal,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
pantry not giving meal urgently,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
there is pantry not giving meal,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
facing problem: stale food served,0,0,0,0,0,1,0,0
there is pantry not giving meal,0,0,0,0,0,1,0,0
please help stale food served,0,0,0,0,0,1,0,0
please help food quality bad,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
food quality bad in my coach,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
facing problem: pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
overpriced food in my coach,0,0,0,0,0,1,0,0
facing problem: overpriced food,0,0,0,0,0,1,0,0
complaint regarding pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
please help food quality bad,0,0,0,0,0,1,0,0
complaint regarding pantry not giving meal,0,0,0,0,0,1,0,0
there is pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
stale food served urgently,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
food quality bad,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
stale food served urgently,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
please help stale food served,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
please help pantry not giving meal,0,0,0,0,0,1,0,0
sir food quality bad,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
facing problem: water bottle expired,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
stale food served in my coach,0,0,0,0,0,1,0,0
there is water bottle expired,0,0,0,0,0,1,0,0
water bottle expired,0,0,0,0,0,1,0,0
complaint regarding stale food served,0,0,0,0,0,1,0,0
food quality bad urgently,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
facing problem: food quality bad,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
facing problem: pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: stale food served,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
facing problem: pantry not giving meal,0,0,0,0,0,1,0,0
sir stale food served,0,0,0,0,0,1,0,0
pantry not giving meal,0,0,0,0,0,1,0,0
facing problem: stale food served,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
complaint regarding water bottle expired,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
stale food served,0,0,0,0,0,1,0,0
there is overpriced food,0,0,0,0,0,1,0,0
pantry not giving meal in my coach,0,0,0,0,0,1,0,0
overpriced food urgently,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
sir water bottle expired,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
complaint regarding overpriced food,0,0,0,0,0,1,0,0
sir pantry not giving meal,0,0,0,0,0,1,0,0
there is stale food served,0,0,0,0,0,1,0,0
please help overpriced food,0,0,0,0,0,1,0,0
water bottle expired urgently,0,0,0,0,0,1,0,0
water bottle expired in my coach,0,0,0,0,0,1,0,0
facing problem: stale food served,0,0,0,0,0,1,0,0
complaint regarding food quality bad,0,0,0,0,0,1,0,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
complaint regarding need doctor urgently,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
there is chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding in my coach,0,0,0,0,0,0,1,0
please help passenger unconscious,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
sir injured passenger bleeding,0,0,0,0,0,0,1,0
injured passenger bleeding,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding,0,0,0,0,0,0,1,0
sir chest pain emergency,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
need doctor urgently in my coach,0,0,0,0,0,0,1,0
please help chest pain emergency,0,0,0,0,0,0,1,0
sir need doctor urgently,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
passenger unconscious in my coach,0,0,0,0,0,0,1,0
there is need doctor urgently,0,0,0,0,0,0,1,0
need doctor urgently,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
need doctor urgently in my coach,0,0,0,0,0,0,1,0
facing problem: passenger unconscious,0,0,0,0,0,0,1,0
there is chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
chest pain emergency in my coach,0,0,0,0,0,0,1,0
complaint regarding passenger unconscious,0,0,0,0,0,0,1,0
please help need doctor urgently,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
need doctor urgently in my coach,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
please help need doctor urgently,0,0,0,0,0,0,1,0
sir injured passenger bleeding,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
sir need doctor urgently,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
need doctor urgently,0,0,0,0,0,0,1,0
please help passenger unconscious,0,0,0,0,0,0,1,0
facing problem: injured passenger bleeding,0,0,0,0,0,0,1,0
please help chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
sir chest pain emergency,0,0,0,0,0,0,1,0
need doctor urgently urgently,0,0,0,0,0,0,1,0
sir passenger unconscious,0,0,0,0,0,0,1,0
there is chest pain emergency,0,0,0,0,0,0,1,0
facing problem: passenger unconscious,0,0,0,0,0,0,1,0
please help chest pain emergency,0,0,0,0,0,0,1,0
facing problem: passenger unconscious,0,0,0,0,0,0,1,0
complaint regarding need doctor urgently,0,0,0,0,0,0,1,0
please help injured passenger bleeding,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
please help injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
please help chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding,0,0,0,0,0,0,1,0
facing problem: injured passenger bleeding,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
sir need doctor urgently,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
please help injured passenger bleeding,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding passenger unconscious,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
please help need doctor urgently,0,0,0,0,0,0,1,0
there is chest pain emergency,0,0,0,0,0,0,1,0
there is injured passenger bleeding,0,0,0,0,0,0,1,0
please help injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
need doctor urgently urgently,0,0,0,0,0,0,1,0
please help chest pain emergency,0,0,0,0,0,0,1,0
sir chest pain emergency,0,0,0,0,0,0,1,0
need doctor urgently urgently,0,0,0,0,0,0,1,0
please help need doctor urgently,0,0,0,0,0,0,1,0
please help injured passenger bleeding,0,0,0,0,0,0,1,0
complaint regarding need doctor urgently,0,0,0,0,0,0,1,0
sir chest pain emergency,0,0,0,0,0,0,1,0
there is need doctor urgently,0,0,0,0,0,0,1,0
passenger unconscious urgently,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
chest pain emergency in my coach,0,0,0,0,0,0,1,0
sir injured passenger bleeding,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
need doctor urgently urgently,0,0,0,0,0,0,1,0
complaint regarding need doctor urgently,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
sir passenger unconscious,0,0,0,0,0,0,1,0
injured passenger bleeding urgently,0,0,0,0,0,0,1,0
complaint regarding injured passenger bleeding,0,0,0,0,0,0,1,0
chest pain emergency,0,0,0,0,0,0,1,0
please help need doctor urgently,0,0,0,0,0,0,1,0
there is passenger unconscious,0,0,0,0,0,0,1,0
complaint regarding chest pain emergency,0,0,0,0,0,0,1,0
need doctor urgently urgently,0,0,0,0,0,0,1,0
passenger unconscious in my coach,0,0,0,0,0,0,1,0
chest pain emergency urgently,0,0,0,0,0,0,1,0
facing problem: chest pain emergency,0,0,0,0,0,0,1,0
